#gene_id	transcript_id	chr	strand	transcript_intron_reads_FPK	intron_reads_FPK
ENSMUSG00000000889	ENSMUST00000000910	chr2	+	0.06546216286986122	0,0,0,0,0,0.49800796812749004,0,0,0,0,0,0,0
ENSMUSG00000000889	ENSMUST00000155290	chr2	+	0.0	0,0,0
ENSMUSG00000001415	ENSMUST00000001451	chr3	+	10.458610050724259	0,1.1492051331162612,18.59504132231405,19.04761904761905,3.421309872922776,18.145161290322584,5.0864699898270604,1.9815059445178336,18.51851851851852,10.507880910683012,14.830508474576272,41.666666666666664,0,23.066485753052916,20.689655172413794,10.344827586206897,17.501017501017504,15.92356687898089,27.700831024930746,17.341040462427745,76.92307692307693,53.03030303030303,0
ENSMUSG00000001415	ENSMUST00000192009	chr3	+	7.713183830881302	0,19.04761904761905,3.421309872922776,18.145161290322584,5.0864699898270604,1.9815059445178336,18.51851851851852,10.507880910683012,14.830508474576272,0
ENSMUSG00000001415	ENSMUST00000192057	chr3	+	5.836575875486381	0,1.1492051331162612,18.59504132231405,19.04761904761905,3.421309872922776,18.145161290322584,5.0864699898270604,1.9815059445178336,18.51851851851852,10.507880910683012,14.830508474576272,41.666666666666664,0
ENSMUSG00000001415	ENSMUST00000192377	chr3	+	22.22222222222222	0,15.92356687898089,27.700831024930746,0
ENSMUSG00000001415	ENSMUST00000193007	chr3	+	8.248840006874033	0,3.003003003003003,18.59504132231405,19.04761904761905,3.421309872922776,18.145161290322584,5.0864699898270604,0
ENSMUSG00000001415	ENSMUST00000193097	chr3	+	22.019741837509493	0,23.066485753052916,20.689655172413794,0
ENSMUSG00000001415	ENSMUST00000193224	chr3	+	27.010435850214854	0,0,15.92356687898089,27.700831024930746,17.341040462427745,76.92307692307693,53.03030303030303,0
ENSMUSG00000001415	ENSMUST00000194359	chr3	+	53.03030303030303	0,53.03030303030303,0
ENSMUSG00000001415	ENSMUST00000194942	chr3	+	3.488372093023256	0,1.1492051331162612,18.59504132231405,0,19.04761904761905,0
ENSMUSG00000001416	ENSMUST00000001452	chr3	+	13.61995405316705	0,5.076142131979695,0,0,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,7.618080243778568,32.07449560269012,110.72664359861592,0,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000163735	chr3	+	12.76622637932124	0,6.983240223463687,4.218362282878412,6.123016977456165,309.3922651933702,7.618080243778568,32.07449560269012,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000164122	chr3	+	0	0,0,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000164166	chr3	+	13.61995405316705	0,5.076142131979695,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,7.618080243778568,32.07449560269012,110.72664359861592,0,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000164783	chr3	+	10.31182973106748	0,5.076142131979695,0,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000167000	chr3	+	13.61995405316705	0,5.076142131979695,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,7.618080243778568,32.07449560269012,110.72664359861592,0,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000167718	chr3	+	13.61995405316705	0,5.076142131979695,0,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,7.618080243778568,32.07449560269012,110.72664359861592,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000168062	chr3	+	13.61995405316705	0,5.076142131979695,0,0,7.31981981981982,6.983240223463687,4.218362282878412,8.602150537634408,1.5772870662460567,309.3922651933702,7.618080243778568,32.07449560269012,110.72664359861592,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000168971	chr3	+	0	0,0,0,2.6666666666666665
ENSMUSG00000001416	ENSMUST00000193666	chr3	+	0	0,2.6666666666666665
ENSMUSG00000001418	ENSMUST00000001454	chr3	+	0	0.6666666666666666,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000131666	chr3	+	0	0.6666666666666666,0,0,0,0
ENSMUSG00000001418	ENSMUST00000140039	chr3	+	0	0.6666666666666666,0,0,0,0
ENSMUSG00000001418	ENSMUST00000152801	chr3	+	0	0.6666666666666666,0,0
ENSMUSG00000001418	ENSMUST00000153716	chr3	+	0	0.6666666666666666,0,0,0
ENSMUSG00000001418	ENSMUST00000154381	chr3	+	0	0.6666666666666666,0,0
ENSMUSG00000001418	ENSMUST00000176425	chr3	+	0	0.6666666666666666,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000176519	chr3	+	0	0.6666666666666666,0,0,0
ENSMUSG00000001418	ENSMUST00000177005	chr3	+	0	0.6666666666666666,0,0,0,0,0,0
ENSMUSG00000001418	ENSMUST00000193646	chr3	+	0	0.6666666666666666,0
ENSMUSG00000001420	ENSMUST00000001456	chr3	-	2.249718785151856	0,1.5955325089748702,12.5,0,0.29291154071470415
ENSMUSG00000001420	ENSMUST00000107552	chr3	-	2.249718785151856	0,1.5955325089748702,12.5,0,0.29291154071470415
ENSMUSG00000001420	ENSMUST00000107553	chr3	-	2.249718785151856	0,1.5955325089748702,12.5,0,0.29291154071470415
ENSMUSG00000001420	ENSMUST00000193872	chr3	-	64.7419072615923	0,64.7419072615923,0.29291154071470415
